,category,data,source,day,day_of_week,key_category,name_category
0,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=4, tm_min=58, tm_sec=43, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,business,Экономика и бизнес
1,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=4, tm_min=44, tm_sec=17, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,business,Экономика и бизнес
2,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=4, tm_min=38, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,business,Экономика и бизнес
3,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=3, tm_min=31, tm_sec=18, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,business,Экономика и бизнес
4,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=3, tm_min=10, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,business,Экономика и бизнес
5,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=1, tm_min=25, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,business,Экономика и бизнес
6,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=1, tm_min=23, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,business,Экономика и бизнес
7,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=1, tm_min=9, tm_sec=40, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,business,Экономика и бизнес
8,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=41, tm_sec=1, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,business,Экономика и бизнес
9,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=10, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,business,Экономика и бизнес
10,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=23, tm_min=12, tm_sec=4, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
11,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=22, tm_min=50, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
12,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=22, tm_min=14, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
13,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=21, tm_min=51, tm_sec=11, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
14,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=21, tm_min=24, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
15,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=18, tm_min=45, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
16,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=18, tm_min=27, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
17,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=18, tm_min=19, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
18,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=17, tm_min=55, tm_sec=22, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
19,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=17, tm_min=31, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
20,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=17, tm_min=12, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
21,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=16, tm_min=45, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
22,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=15, tm_min=59, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
23,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=15, tm_min=44, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
24,Экономика,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=15, tm_min=14, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,business,Экономика и бизнес
25,Экономика и бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=4, tm_min=46, tm_sec=24, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,business,Экономика и бизнес
26,Экономика и бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=4, tm_min=45, tm_sec=33, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,business,Экономика и бизнес
27,Экономика и бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=4, tm_min=37, tm_sec=27, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,business,Экономика и бизнес
28,Экономика и бизнес,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=4, tm_min=21, tm_sec=10, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,business,Экономика и бизнес
